Alice Silva,1001,Junior,1,3.2,2.8,3.5,2.1,1.9,4.1,2.5,3.0,2.7,3.8,3.3
Bruno Costa,1002,Junior,1,2.5,3.0,2.2,3.8,2.7,1.9,3.5,2.0,3.1,2.4,2.9
Carla Mendes,1003,Junior,1,4.0,3.5,4.1,2.9,3.3,2.5,4.2,3.7,2.8,3.0,3.6
Daniel Souza,1004,Junior,1,1.8,2.1,3.0,1.5,2.0,3.4,2.8,1.9,2.6,3.1,2.5
Eduarda Lima,1005,Junior,1,3.5,4.0,2.8,3.2,2.5,3.0,3.7,2.9,3.3,2.6,4.1
Felipe Gomes,1006,Junior,1,2.0,2.5,1.9,2.8,3.1,2.2,1.8,2.7,2.0,3.5,1.7
Giovana Alves,1007,Junior,1,4.2,3.8,3.6,3.0,3.4,2.7,4.0,3.2,3.9,2.9,3.5
Henrique Rocha,1008,Junior,1,2.8,2.3,2.5,1.7,2.2,3.7,2.1,2.6,1.9,3.9,2.0
Isabela Vieira,1009,Junior,1,3.0,3.4,3.1,2.6,2.9,2.3,3.2,2.4,3.0,2.8,3.1
João Pereira,1010,Junior,1,2.3,1.8,2.0,3.5,1.5,2.8,1.9,3.0,2.2,1.7,2.6
Larissa Santos,1011,Junior,1,3.7,3.1,3.9,2.4,3.6,2.0,3.3,2.8,3.4,2.5,3.0
Marcelo Costa,1012,Junior,1,2.6,2.9,2.3,3.1,2.4,3.6,2.7,2.1,2.9,3.2,2.3
Nívea Oliveira,1013,Junior,1,4.1,3.7,4.0,3.3,3.8,2.9,3.6,3.5,4.2,3.1,3.9
Otávio Martins,1014,Junior,1,1.5,2.0,1.7,2.5,1.8,3.0,2.2,1.6,2.1,3.3,1.9
Paula Fernandes,1015,Junior,1,3.9,3.6,3.2,3.0,2.7,2.8,3.8,3.1,3.5,2.9,3.7
Quincas Barbosa,1016,Junior,1,2.2,2.7,2.0,1.9,2.3,3.2,2.5,1.7,2.4,3.0,1.8
Raquel Gonçalvez,1017,Junior,1,3.4,3.0,3.3,2.7,3.1,2.6,3.5,2.5,3.0,2.7,3.2
Sergio Cruz,1018,Junior,1,1.9,2.4,1.8,3.0,1.6,2.9,2.0,2.8,1.7,2.2,1.5
Tatiana Almeida,1019,Junior,1,4.3,4.1,3.7,3.5,3.9,3.0,4.4,3.6,4.0,3.2,4.2
Ulysses Medeiros,1020,Junior,1,2.7,2.2,2.6,2.0,2.1,3.5,2.3,2.9,2.5,3.4,2.1
Vitória Novaes,1021,Junior,1,3.0,2.5,3.3,2.0,2.8,4.0,2.4,3.1,2.6,3.7,3.2
Wagner Reis,1022,Junior,1,2.1,3.2,2.0,3.5,2.6,1.8,3.4,1.9,3.0,2.3,2.8
Xavier Campos,1023,Junior,1,3.8,3.4,3.9,2.8,3.2,2.4,4.1,3.6,2.7,2.9,3.5
Yara Siqueira,1024,Junior,1,1.7,2.2,2.9,1.6,1.9,3.3,2.7,1.8,2.5,3.0,2.4
Zara Fontes,1025,Junior,1,3.6,3.9,2.7,3.1,2.4,2.9,3.6,2.8,3.2,2.5,4.0
Alexandre Dias,1026,Junior,1,1.9,2.4,1.8,2.7,3.0,2.1,1.7,2.6,1.9,3.4,1.6
Brenda Rocha,1027,Junior,1,4.0,3.6,3.5,2.9,3.3,2.6,3.9,3.1,3.8,2.8,3.4
Cássio Pires,1028,Junior,1,2.7,2.2,2.4,1.8,2.1,3.6,2.0,2.5,1.8,3.8,2.0
Diana Vieira,1029,Junior,1,3.1,3.5,3.0,2.5,2.8,2.2,3.1,2.3,2.9,2.7,3.0
Erick Santos,1030,Junior,1,2.4,1.9,2.1,3.4,1.4,2.7,1.8,2.9,2.1,1.6,2.5
