Lucas Neves,1031,Junior,1,3.1,2.7,3.4,2.2,1.8,4.2,2.6,3.1,2.8,3.9,3.4
Sofia Ramos,2031,Pleno,2,5.9,6.2,5.6,5.3,5.1,6.6,5.8,6.1,6.0,6.3,6.1
Gabriel Horta,3021,Senior,3,8.6,9.3,8.9,8.0,7.6,9.6,8.8,9.1,9.0,9.3,9.1
Camila Freire,1032,Junior,1,2.4,2.9,2.1,3.7,2.8,1.7,3.6,2.1,3.2,2.5,3.0
Isabela Dantas,2032,Pleno,2,5.3,5.7,5.1,6.1,5.6,5.1,6.2,5.4,5.9,5.5,5.8
Marcelo Vasconcelos,3022,Senior,3,7.0,7.4,7.9,6.8,7.1,8.3,7.7,7.0,7.5,8.0,7.4
Gustavo Costa,1033,Junior,1,4.1,3.6,4.2,3.0,3.5,2.6,4.3,3.8,2.9,3.1,3.7
Ricardo Barreto,2033,Pleno,2,6.3,6.1,6.4,5.8,6.0,5.5,6.5,6.2,5.7,5.9,6.2
Vitor Andrade,3023,Senior,3,9.1,9.0,9.2,8.8,9.0,8.4,9.3,8.9,8.7,8.9,9.2
Lorena Brito,1034,Junior,1,1.9,2.2,3.1,1.6,2.1,3.5,2.9,2.0,2.7,3.2,2.6
Larissa Medeiros,2034,Pleno,2,4.8,5.2,5.7,4.9,5.0,6.1,5.6,5.0,5.5,5.8,5.4
Larissa Alves,3024,Senior,3,8.9,9.2,8.7,8.6,8.2,8.8,9.1,8.7,9.0,8.4,9.4
João Vitor,1035,Junior,1,3.6,4.1,2.9,3.3,2.6,3.1,3.8,3.0,3.4,2.7,4.2
Felipe Duarte,2035,Pleno,2,6.1,6.4,5.6,5.9,5.4,5.8,6.3,5.7,6.2,5.5,6.5
Fernando Oliveira,3025,Senior,3,7.3,7.8,7.2,8.3,8.5,7.5,7.1,8.1,7.4,8.8,7.0
Maria Clara,1036,Junior,1,2.0,2.6,2.0,2.9,3.2,2.3,1.9,2.8,2.1,3.6,1.8
Paula Vasconcelos,2036,Pleno,2,5.0,5.5,4.9,5.7,5.9,5.2,4.9,5.6,5.2,6.1,4.8
Helena Nogueira,3026,Senior,3,9.4,9.1,9.0,8.7,8.9,8.5,9.2,8.8,9.5,8.6,9.0
Pedro Henrique,1037,Junior,1,4.3,3.9,3.7,3.1,3.5,2.8,4.1,3.3,4.0,3.0,3.6
Camila Oliveira,2037,Pleno,2,6.6,6.3,6.0,6.2,5.7,6.1,6.6,6.3,5.8,6.4,6.6
Daniel Gomes,3027,Senior,3,8.1,7.7,8.0,7.4,7.6,8.7,7.8,8.3,8.0,8.8,7.5
Ana Júlia,1038,Junior,1,2.8,2.3,2.6,1.8,2.3,3.8,2.2,2.7,2.0,3.9,2.1
Laura Mendes,2038,Pleno,2,5.5,5.4,5.3,5.1,5.2,5.9,5.7,5.1,5.3,6.0,5.2
Beatriz Lima,3028,Senior,3,9.5,9.4,9.1,9.3,9.5,8.8,9.7,9.2,9.4,9.0,9.6
Felipe Costa,1039,Junior,1,3.0,3.5,3.2,2.7,3.0,2.4,3.3,2.5,3.1,2.9,3.2
André Rocha,2039,Pleno,2,6.0,5.8,5.7,5.6,5.9,5.4,6.2,5.5,6.0,5.6,6.1
Luiza Antunes,3029,Senior,3,7.2,7.7,7.1,8.0,7.3,8.4,7.6,8.1,7.5,8.5,7.3
Beatriz Soares,1040,Junior,1,1.5,2.0,1.7,2.6,1.9,3.1,2.3,1.7,2.2,3.4,2.0
Thiago Silva,2040,Pleno,2,5.7,5.1,5.0,6.0,4.8,5.6,5.1,5.8,5.2,4.9,5.3
Mariana Guedes,3030,Senior,3,8.8,8.7,8.6,8.5,8.9,8.3,9.0,8.4,8.8,8.5,9.1
